"species_common","nfi_species","model","a","b1","b2","b3","r2","std_error_ft","max_error_ft","recommended","notes"
"Red pine","PINU.RES","exponential_monomolecular",NA,1.89,-0.01979,1.3892,0.9994,0.64,1.4,TRUE,""
"Jack pine","PINU.BAN","exponential_monomolecular",NA,1.633,-0.02233,1.2419,0.9994,0.5,1.1,TRUE,""
"White pine","PINU.STR","exponential_monomolecular",NA,1.966,-0.02399,1.8942,0.9996,0.66,1.7,TRUE,""
"Balsam fir","ABIE.BAL","exponential_monomolecular",NA,1.437,-0.02266,0.9381,0.9985,0.69,1.9,TRUE,"Ages in source are breast-height ages."
"White spruce","PICE.GLA","exponential_monomolecular",NA,1.637,-0.02541,1.5403,0.9784,3.98,9.4,FALSE,"Function not recommended in paper (large errors)."
"Black spruce","PICE.MAR","exponential_monomolecular",NA,1.762,-0.02011,1.2307,0.999,0.72,1.9,TRUE,""
"Tamarack","LARI.LAR","exponential_monomolecular",NA,1.547,-0.02246,1.1129,0.9993,0.52,1.4,TRUE,""
"White-cedar","THUJ.OCC","exponential_monomolecular",NA,1.973,-0.01535,1.0895,0.999,0.66,1.7,TRUE,""
"Aspen","POPU.TRE","exponential_monomolecular",NA,1.48,-0.0214,0.9377,0.9996,0.41,1.1,TRUE,""
"Red oak","QUER.RUB","exponential_monomolecular",NA,1.558,-0.02179,1.0673,0.9955,1.42,4.5,TRUE,""
"Paper birch","BETU.PAP","exponential_monomolecular",NA,1.598,-0.01938,0.9824,0.9998,0.32,0.6,TRUE,""
"Red pine","PINU.RES","monomolecular",1.956,-2.1757,-0.01644,NA,0.9994,0.67,1.4,TRUE,""
"Jack pine","PINU.BAN","monomolecular",1.677,-1.8063,-0.01963,NA,0.9993,0.57,1.2,TRUE,""
"White pine","PINU.STR","monomolecular",2.174,-2.5616,-0.0156,NA,0.9987,1.27,3.1,TRUE,""
"Balsam fir","ABIE.BAL","monomolecular",1.419,-1.3938,-0.02403,NA,0.9984,0.74,1.9,TRUE,"Ages in source are breast-height ages."
"White spruce","PICE.GLA","monomolecular",1.662,-1.9864,-0.02198,NA,0.9778,4.14,9.5,FALSE,"Function not recommended in paper (large errors)."
"Black spruce","PICE.MAR","monomolecular",1.831,-1.9405,-0.01696,NA,0.9988,0.8,1.6,TRUE,""
"Tamarack","LARI.LAR","monomolecular",1.556,-1.6268,-0.02149,NA,0.9993,0.54,1.4,TRUE,""
"White-cedar","THUJ.OCC","monomolecular",2.02,-2.063,-0.01409,NA,0.9989,0.71,1.8,TRUE,""
"Aspen","POPU.TRE","monomolecular",1.46,-1.4337,-0.02274,NA,0.9995,0.45,1.1,TRUE,""
"Red oak","QUER.RUB","monomolecular",1.582,-1.6005,-0.02023,NA,0.9953,1.5,4.6,TRUE,""
"Paper birch","BETU.PAP","monomolecular",1.594,-1.5841,-0.01961,NA,0.9997,0.35,0.6,TRUE,""
